title,genre,year,rating,votes,director,duration_min,country,box_office_million
Big Hero 6,Horror,1994,5.8,4699617,Tim Burton,120,Canada,192.09
The Irishman,Comedy,1995,7.1,1310921,James Cameron,90,Japan,2601.82
Wall-E,Romance,2011,6.8,2025118,Ryan Coogler,104,Germany,790.14
Birdman,Animation,2012,8.1,887467,Robert Zemeckis,99,UK,424.71
Soul,Horror,1999,7.1,746400,Tim Burton,110,Australia,1721.09
Captain America: Civil War,Sci-Fi,1981,8.2,1555669,Denis Villeneuve,109,Australia,320.98
The Matrix,Action,2013,8.4,4513982,James Cameron,146,South Korea,1159.36
Brave,Drama,1992,5.6,678254,Sam Raimi,178,South Korea,621.74
Ant-Man,Drama,2005,7.5,377108,Ryan Coogler,89,UK,768.39
Wonder Woman,Action,2002,4.7,1060471,Steven Spielberg,113,France,2084.13
The Social Network,Thriller,1980,6,4550240,James Cameron,155,USA,982.35
The Incredibles,Sci-Fi,1983,4.6,3744786,James Cameron,164,France,1687.05
Oppenheimer,Thriller,2009,5,4602540,Sam Raimi,203,South Korea,1366.75
Joker,Sci-Fi,2021,8.1,1994180,Robert Zemeckis,134,USA,981.48
The Incredibles,Fantasy,1991,9.1,2626614,Martin Scorsese,85,UK,951.23
Saving Private Ryan,Fantasy,2014,8.9,752017,Peter Jackson,144,South Korea,2785.05
The Exorcist,Adventure,2011,9,3340651,Ryan Coogler,195,USA,2482.68
Toy Story,Romance,1981,8.4,2213982,Sam Raimi,93,Japan,783.77
Coco,Animation,1999,5,2761217,Sam Raimi,169,Spain,1201.1
Big Hero 6,Horror,1994,7.1,1310089,Martin Scorsese,176,Germany,2602.57
Avatar,Sci-Fi,1989,5.5,1888116,Ryan Coogler,97,France,1459.98
Inception,Comedy,2000,7.2,536380,Martin Scorsese,173,UK,1814.22
Avatar,Action,2006,8.1,3424914,Ryan Coogler,180,Germany,437.91
Dune,Horror,1991,8.3,4202456,Patty Jenkins,199,Australia,1800.85
Interstellar,Romance,2023,7.5,3088158,Zack Snyder,86,Germany,2327.24
The Departed,Sci-Fi,1988,8,2167793,James Cameron,85,USA,1329.11
The Shawshank Redemption,Drama,2007,6.5,1046612,James Cameron,189,Germany,877
Goodfellas,Horror,1986,5.6,3013050,Ryan Coogler,197,Australia,549.81
Goodfellas,Animation,2004,6.3,1801313,James Cameron,152,Australia,277.37
The Social Network,Horror,1999,9.4,4140839,Zack Snyder,178,Germany,1529.72
The Irishman,Drama,2006,9.1,1842048,Steven Spielberg,122,USA,1986.54
Moana,Sci-Fi,1987,9,3115537,Tim Burton,128,Australia,1597.31
Brave,Sci-Fi,1986,9.6,3144252,Quentin Tarantino,109,USA,1323.99
The Batman,Fantasy,2006,6.8,2302369,Tim Burton,164,India,1883.92
Fight Club,Drama,2001,5.7,903370,Quentin Tarantino,145,Spain,2757.8
Twilight,Comedy,1987,5,3496272,Denis Villeneuve,140,Canada,1441.74
Oppenheimer,Action,1991,9.3,264017,Martin Scorsese,194,Canada,1226.78
The Conjuring,Adventure,2017,6.5,4554631,Christopher Nolan,124,Japan,154.91
The Suicide Squad,Animation,2001,8.6,4676283,Patty Jenkins,112,Japan,2336.14
Black Panther,Comedy,2012,6.1,4638422,Sam Raimi,158,India,1443.27
Birdman,Romance,1983,5.1,2536674,Sam Raimi,102,Spain,2003.83
Finding Nemo,Romance,2011,6.1,1339325,James Cameron,130,France,1326.15
Goodfellas,Animation,2009,9.2,3130397,Tim Burton,172,France,434.66
A Quiet Place,Animation,2002,6.2,4654671,Sam Raimi,134,India,2000.43
The Conjuring,Drama,2008,9.1,4235308,James Cameron,204,Japan,1925.93
Hereditary,Fantasy,2015,5.8,1914735,Greta Gerwig,168,South Korea,1460.08
Interstellar,Sci-Fi,2019,8.1,3588310,Ridley Scott,110,India,1472.13
Finding Nemo,Adventure,1987,9.4,299200,Ridley Scott,199,France,1887.84
The Flash,Sci-Fi,1996,7.4,4038312,James Cameron,147,Germany,497.42
Catch Me If You Can,Drama,1986,6.4,3350655,Denis Villeneuve,106,South Korea,2646.67
The Batman,Horror,2014,7.5,2280203,Zack Snyder,172,Spain,2087.36
Inside Out,Sci-Fi,1987,5.9,4260361,James Cameron,197,Spain,1001.74
Saving Private Ryan,Comedy,2014,9.7,2745670,Martin Scorsese,188,UK,2469.08
Superman,Fantasy,1994,8.2,632222,Quentin Tarantino,172,Germany,2669.35
Joker,Romance,2009,5.2,3981686,Steven Spielberg,201,India,1889.1
Soul,Animation,2007,9.7,1268506,Peter Jackson,98,Spain,399.72
Oppenheimer,Adventure,1982,8.7,1238136,Steven Spielberg,156,Germany,949.91
Thor: Ragnarok,Sci-Fi,1989,4.9,233719,Greta Gerwig,177,Spain,1631.06
Avatar,Comedy,1994,9.6,2083413,Christopher Nolan,209,Germany,632.53
The Batman,Sci-Fi,2002,6.4,1781638,Christopher Nolan,97,Australia,2502.35
Zootopia,Thriller,2009,4.5,802655,Zack Snyder,202,South Korea,2769.62
Tenet,Thriller,2018,9.2,397997,Sam Raimi,87,Australia,1850.91
Man of Steel,Animation,2015,6.6,2621069,Patty Jenkins,159,UK,2780.04
The Batman,Action,2007,6.9,1501155,Christopher Nolan,154,India,258.1
"Monsters, Inc.",Comedy,1983,7,3932372,Sam Raimi,141,Japan,2736.91
Saving Private Ryan,Action,1988,9.2,2394700,Tim Burton,202,South Korea,2635.73
Guardians of the Galaxy,Action,1994,9.2,540835,Robert Zemeckis,121,Canada,1490.85
Guardians of the Galaxy,Sci-Fi,2021,9.8,806878,Ryan Coogler,105,Australia,908.01
"Monsters, Inc.",Fantasy,2021,6.5,2243486,Ridley Scott,94,UK,1397.21
Brave,Sci-Fi,1989,4.5,1191102,Sam Raimi,113,France,2368.2
Inside Out,Action,2020,5.8,1032995,Patty Jenkins,102,Germany,1934.42
The Ring,Fantasy,1981,7.6,4455121,Patty Jenkins,114,Spain,1096.89
Inception,Horror,1987,6.7,4932281,Denis Villeneuve,141,Japan,386.33
Arrival,Fantasy,2023,7.5,383558,Zack Snyder,196,UK,606.7
Luca,Adventure,2014,7.8,3691129,Ryan Coogler,203,UK,1081.4
Schindler's List,Comedy,2009,9.6,4511002,Denis Villeneuve,188,India,2528.42
Big Hero 6,Horror,1984,4.9,266095,Christopher Nolan,120,India,2003.93
Shutter Island,Action,1994,6.6,1879050,Denis Villeneuve,147,UK,876.05
Us,Drama,2004,7.4,390017,Greta Gerwig,166,Germany,864.37
Titanic,Fantasy,2014,5.2,1517796,Ridley Scott,96,Japan,190.39
The Revenant,Drama,1986,9,1221194,Steven Spielberg,83,Spain,1440.65
Pulp Fiction,Fantasy,2007,8.7,4374146,Martin Scorsese,158,Canada,838.75
Get Out,Fantasy,2011,5.6,3107008,Ryan Coogler,114,Germany,1426.82
The Departed,Thriller,2006,8.8,2502080,Tim Burton,82,France,106.45
Tenet,Thriller,2006,9.2,2284180,Peter Jackson,99,Spain,2398.58
Moana,Action,2021,7.9,2516930,James Cameron,194,Canada,177.97
Moana,Animation,2015,6,2531812,Peter Jackson,122,Japan,1679.95
Shutter Island,Drama,2008,4.9,1088980,Sam Raimi,83,France,2596.04
Shutter Island,Comedy,2019,8.5,2554356,Christopher Nolan,132,Australia,2509.18
Up,Thriller,1991,9.5,2643454,James Cameron,108,USA,803.48
Avengers: Endgame,Romance,1987,7.4,1989344,Greta Gerwig,180,Canada,166.88
Kung Fu Panda,Comedy,1983,7.4,412045,Ryan Coogler,197,India,1028.18
Memento,Action,2009,6.4,2677409,Ridley Scott,104,Australia,2702.2
The Wolf of Wall Street,Comedy,2020,7.2,1435407,Robert Zemeckis,181,Germany,2787.78
Maze Runner,Sci-Fi,2012,4.5,724852,Martin Scorsese,130,Australia,1218.33
Inside Out,Fantasy,2015,9.1,503143,James Cameron,147,Spain,2152.86
The Godfather,Thriller,1992,4.9,1476910,Christopher Nolan,189,Australia,369.46
Avengers: Endgame,Horror,2008,5.7,2961819,Greta Gerwig,209,Canada,2046.48
Parasite,Horror,1989,7.6,2130700,James Cameron,146,South Korea,1244.64
Guardians of the Galaxy,Sci-Fi,2006,9.6,873421,Patty Jenkins,175,USA,2.22
Twilight,Action,1984,6,4568160,Robert Zemeckis,167,Germany,620.73
Catch Me If You Can,Fantasy,2006,6.2,1728532,Martin Scorsese,209,Spain,2315.83
Dunkirk,Animation,1988,9,3125440,Ryan Coogler,153,France,987.98
Parasite,Thriller,1989,5.4,3296204,Sam Raimi,80,Germany,742.75
Oppenheimer,Sci-Fi,1985,9.1,1158739,Ryan Coogler,124,Japan,1264.21
Joker,Action,2017,9.1,2076698,James Cameron,133,France,1993.32
Zootopia,Animation,2020,9.7,4027353,Christopher Nolan,109,USA,672
The Departed,Romance,1980,9.5,599440,Denis Villeneuve,117,South Korea,2480.76
Deadpool,Drama,2017,9.4,4942779,Quentin Tarantino,92,South Korea,1800.83
Inside Out,Romance,1986,6.4,3348545,Ryan Coogler,159,UK,103.47
Blue Beetle,Animation,2016,5.1,1618461,Patty Jenkins,82,Spain,1411.51
Dunkirk,Fantasy,1999,8.9,3088292,Christopher Nolan,105,Germany,1632.27
It,Thriller,2018,8.9,1934677,Quentin Tarantino,176,Canada,1100.29
The Shawshank Redemption,Action,2011,8,1113296,James Cameron,85,Australia,1517
Zootopia,Romance,2014,4.6,1284621,Steven Spielberg,200,Spain,1689.05
The Godfather,Horror,1995,6.5,2420329,Ryan Coogler,162,South Korea,1098.3
Justice League,Sci-Fi,2006,8.3,822209,Christopher Nolan,191,South Korea,2799.81
Parasite,Action,2023,6.2,2356351,Quentin Tarantino,105,Canada,557.74
The Wolf of Wall Street,Romance,1980,5.1,1804582,Tim Burton,132,India,805.65
Wonder Woman,Thriller,1997,5.5,2441937,Robert Zemeckis,170,Canada,1614.03
X-Men: Days of Future Past,Comedy,1991,8.7,328421,Sam Raimi,113,Spain,2780.1
Blue Beetle,Animation,2020,7,1033544,Sam Raimi,132,France,2555.46
The Batman,Adventure,1982,7.8,1253385,Patty Jenkins,158,USA,498.73
Justice League,Action,1993,5.7,2579685,Quentin Tarantino,173,Australia,679.55
Blue Beetle,Adventure,1992,5.6,347085,Steven Spielberg,201,India,1530.94
Divergent,Sci-Fi,2021,7.2,1171341,Tim Burton,194,Germany,1597.92
Soul,Adventure,1999,7.2,1975144,Denis Villeneuve,105,USA,2563.4
Memento,Thriller,2002,4.8,2229920,Sam Raimi,194,UK,2580.69
Shang-Chi,Romance,2013,8.9,2596247,Ridley Scott,182,Japan,1458.51
The Suicide Squad,Animation,2002,5.6,3745993,Greta Gerwig,105,Japan,1076.69
The Social Network,Action,2000,9.4,4086506,Steven Spielberg,161,Japan,437.19
Logan,Romance,1988,7.2,1822738,Ryan Coogler,180,South Korea,869.31
The Conjuring,Drama,1988,9.3,94299,Christopher Nolan,195,France,796.27
Captain America: Civil War,Drama,1993,5.9,2641140,Zack Snyder,89,Canada,2637.57
The Wolf of Wall Street,Adventure,2023,4.5,4889948,Patty Jenkins,81,Canada,211.25
Wall-E,Sci-Fi,2002,6,2961056,Robert Zemeckis,203,USA,614.31
Saving Private Ryan,Adventure,2021,7.7,1377674,James Cameron,206,India,267.6
Coco,Horror,1987,9.3,4443053,Robert Zemeckis,106,UK,462.18
The Lion King,Fantasy,1980,4.9,1530045,Sam Raimi,156,Germany,1667.23
Forrest Gump,Sci-Fi,1981,5.8,3676272,Robert Zemeckis,151,Spain,1551.6
Forrest Gump,Thriller,2003,5.5,1334671,Peter Jackson,137,UK,2019.97
Big Hero 6,Fantasy,2000,6.5,4387537,Robert Zemeckis,193,UK,612.99
Frozen II,Romance,2014,7.8,957689,Robert Zemeckis,176,UK,1343.75
A Quiet Place,Action,2012,5.9,4610192,Patty Jenkins,101,UK,2127.91
Dunkirk,Sci-Fi,2014,7.3,446407,Patty Jenkins,192,Australia,2039.06
Parasite,Action,2023,8.8,2161884,Tim Burton,89,UK,1233.13
Frozen,Thriller,1998,6.2,1077865,Zack Snyder,197,Australia,1499.98
Frozen II,Horror,2019,5.4,4515688,Denis Villeneuve,176,Canada,2540.32
Toy Story,Comedy,2007,9.6,4504132,Zack Snyder,128,Canada,187.14
The Matrix,Action,2002,5.7,4935273,Greta Gerwig,135,Japan,1575.3
Logan,Adventure,2001,8.3,4774092,Steven Spielberg,82,Japan,2235.78
Up,Horror,1991,5.3,2560790,Tim Burton,123,Germany,2227.04
Avengers: Endgame,Comedy,1997,6,2442003,James Cameron,148,India,1575.98
Doctor Strange,Horror,1991,8.2,3285186,Quentin Tarantino,106,USA,456.08
Titanic,Animation,1987,4.9,4451168,Robert Zemeckis,162,Canada,898.14
Pulp Fiction,Action,1996,9.5,3257553,Ryan Coogler,178,Canada,741.34
Luca,Drama,1987,6,389385,Denis Villeneuve,101,India,346.15
The Suicide Squad,Comedy,2002,9.4,3469015,Tim Burton,176,Germany,1986.21
The Conjuring,Romance,2005,8.5,2456016,Peter Jackson,198,South Korea,1738.47
Mad Max: Fury Road,Animation,2016,8.3,1959731,Zack Snyder,162,France,153.61
Divergent,Thriller,1983,5.6,3385152,Quentin Tarantino,190,Japan,318.48
It,Drama,2002,6,4900274,Martin Scorsese,82,USA,1939.46
Black Panther,Adventure,2023,6.8,2243920,Zack Snyder,99,India,2472.2
Man of Steel,Adventure,2001,6.6,1236145,Robert Zemeckis,90,Australia,2540.64
The Departed,Sci-Fi,2004,6.2,1184722,Zack Snyder,171,Germany,2409.16
Aquaman 2,Fantasy,2021,8.4,2811844,Ryan Coogler,210,Germany,928.21
Thor: Love and Thunder,Sci-Fi,1996,7.9,2161932,Ryan Coogler,122,Germany,1387.33
Wonder Woman,Animation,2000,9,3929597,Quentin Tarantino,95,UK,2119.63
Shrek,Adventure,1984,8.9,2061254,Denis Villeneuve,97,UK,1918.04
Man of Steel,Fantasy,2007,9.1,4096830,Quentin Tarantino,125,Germany,1725.01
Guardians of the Galaxy,Romance,1995,5.9,4420498,Zack Snyder,156,Australia,1561.43
Soul,Fantasy,1988,6.2,2425615,Quentin Tarantino,153,Canada,11.27
Toy Story,Comedy,1981,8.7,1216838,Denis Villeneuve,147,Spain,1825.63
Inception,Comedy,1996,7.3,4649462,Ryan Coogler,127,USA,211.5
12 Years a Slave,Drama,2000,4.7,4513714,Denis Villeneuve,146,UK,2765.79
Inception,Action,1992,6.5,2757867,Ryan Coogler,114,Spain,2096.77
The Wolf of Wall Street,Animation,2023,5.8,673848,Robert Zemeckis,84,Spain,723.36
Parasite,Horror,2005,7.9,1666825,James Cameron,102,Spain,650.48
A Quiet Place,Animation,2009,9.4,312230,Christopher Nolan,136,India,194.78
It,Comedy,1997,9.1,2000383,James Cameron,198,India,557.81
It Chapter Two,Action,1985,9,543874,Patty Jenkins,110,UK,1461.17
Captain America: Civil War,Thriller,1985,6.2,3278314,Peter Jackson,199,Canada,2330.5
Ant-Man,Animation,1991,8.5,1832749,Robert Zemeckis,97,UK,2563.25
The Incredibles,Thriller,1988,7.4,1232911,Denis Villeneuve,179,Japan,2598.01
Doctor Strange,Action,1986,7.9,3957871,Greta Gerwig,122,Japan,67.28
Frozen,Horror,2016,6.7,2684830,Ridley Scott,134,Australia,42.3
Hereditary,Romance,2003,4.7,4611073,Christopher Nolan,198,Australia,1099.43
Forrest Gump,Sci-Fi,2022,7.6,3024356,Christopher Nolan,116,Australia,2348.52
The Shawshank Redemption,Drama,1991,6.5,2748951,Sam Raimi,162,Germany,1862.53
Luca,Animation,2016,5.6,2348397,Christopher Nolan,101,Australia,172.97
Thor: Ragnarok,Horror,1991,8.6,4267387,Steven Spielberg,184,Spain,469
Up,Thriller,1984,7.1,3810109,Greta Gerwig,163,Japan,1534.84
Blade Runner 2049,Animation,2002,8.9,2961731,Christopher Nolan,195,Spain,212.85
Doctor Strange: Multiverse of Madness,Drama,2018,8.5,4813159,Sam Raimi,142,Canada,625.8
Django Unchained,Action,2023,8.9,2519470,Steven Spielberg,177,USA,957.71
Arrival,Action,1990,4.6,220579,Sam Raimi,172,India,980.64
Blade Runner 2049,Thriller,1997,8.8,1005363,Quentin Tarantino,184,France,1692.71
Guardians of the Galaxy,Thriller,2023,5.6,1749396,Robert Zemeckis,180,South Korea,1188.14
Wonder Woman,Sci-Fi,2009,5.9,1515145,Martin Scorsese,195,Germany,1737.86
Aquaman,Animation,1989,6.3,4964966,Christopher Nolan,80,Germany,696.69
Up,Comedy,2017,5.1,2059261,Tim Burton,198,Canada,796.89
The Lion King,Horror,2006,8.3,2214071,Sam Raimi,85,Canada,2582.07
Shang-Chi,Animation,2008,9.3,3326438,James Cameron,112,USA,1136.02
X-Men: Days of Future Past,Horror,2009,7.7,726629,Robert Zemeckis,206,Spain,632.21
The Batman,Sci-Fi,2009,4.7,3613174,Ryan Coogler,188,Australia,1988
Shutter Island,Action,2018,7.8,3650869,Greta Gerwig,174,South Korea,8.7
Zootopia,Drama,2022,9.6,231111,Denis Villeneuve,161,USA,1228.11
The Hunger Games,Drama,2000,8.8,1666328,Steven Spielberg,185,France,1290.56
Maze Runner,Romance,2010,4.9,3575174,James Cameron,117,USA,2044.77
The Exorcist,Animation,1985,7.8,3675862,Steven Spielberg,186,India,392.81
Goodfellas,Romance,1992,7.8,4859313,Tim Burton,203,Japan,765.94
The Godfather,Drama,2005,5.3,4056219,Sam Raimi,181,USA,1639.97
Shang-Chi,Horror,1988,6.3,4674571,Steven Spielberg,188,South Korea,1189.32
Parasite,Action,1983,4.9,3700935,Quentin Tarantino,122,Germany,1609.67
Captain America: Civil War,Horror,2011,7.1,124146,Peter Jackson,160,Australia,1580.19
Saving Private Ryan,Fantasy,1981,5.5,493515,Steven Spielberg,195,Japan,374.59
X-Men: Days of Future Past,Fantasy,2020,7.1,2935330,Ridley Scott,81,India,2176.92
Deadpool,Horror,1984,6.9,1554099,Sam Raimi,199,Australia,1329.63
Tenet,Animation,2016,5.7,4384677,Quentin Tarantino,175,UK,1751.18
Shang-Chi,Thriller,2002,7.7,1411413,Quentin Tarantino,144,Japan,1673.79
Luca,Adventure,2000,6.1,716127,Ryan Coogler,174,Australia,1236.94
Aquaman 2,Thriller,1980,8.8,306181,Steven Spielberg,186,South Korea,2034.14
Django Unchained,Romance,2000,9.7,946727,Quentin Tarantino,206,India,1268.18
Luca,Fantasy,2005,4.7,153653,Steven Spielberg,140,UK,1055.39
Pulp Fiction,Horror,2012,6.9,4872451,Ridley Scott,163,UK,152.92
Superman,Sci-Fi,1985,8.4,4400278,Tim Burton,107,Japan,2140.16
The Departed,Action,1980,7.1,965405,Ryan Coogler,198,India,489.71
La La Land,Sci-Fi,2005,7.1,2260832,Steven Spielberg,130,Australia,430.1
The Shawshank Redemption,Animation,1994,6.9,3554146,Ridley Scott,119,Australia,1213.82
Up,Horror,1980,9.1,1519129,Peter Jackson,110,Germany,1176.39
Moana,Romance,2021,8.1,2892736,Greta Gerwig,185,Germany,2408.18
Maze Runner,Fantasy,2013,4.8,3272297,Christopher Nolan,201,UK,1437.87
The Shawshank Redemption,Thriller,2004,4.7,3072204,Quentin Tarantino,96,France,2344.11
Inside Out,Adventure,1996,5.9,2465271,Robert Zemeckis,188,Australia,79.28
Spider-Man: No Way Home,Fantasy,2012,8.5,4239286,Ryan Coogler,201,Australia,879.18
It Chapter Two,Horror,1992,8,630221,Martin Scorsese,205,Australia,891.52
Up,Adventure,1988,8.7,3803509,Greta Gerwig,135,Spain,23.87
The Hunger Games,Adventure,1985,9.5,1402188,Christopher Nolan,180,Canada,2660.32
The Batman,Adventure,2018,6.4,2937004,Quentin Tarantino,201,Spain,2485.22
X-Men: Days of Future Past,Thriller,2009,6.6,3139583,Martin Scorsese,139,USA,127.58
Forrest Gump,Romance,1989,7.4,4473415,Christopher Nolan,136,Spain,2153.73
Inception,Thriller,2004,6.7,2305469,Zack Snyder,94,South Korea,251.97
Hereditary,Comedy,1992,4.9,1460881,James Cameron,118,France,1877.01
X-Men: Days of Future Past,Thriller,2006,8.9,1400454,Quentin Tarantino,210,Japan,2287.64
Superman,Thriller,2002,6.6,208443,Steven Spielberg,190,India,2670.88
Us,Horror,1994,7,2102126,Peter Jackson,195,Germany,319.32
Schindler's List,Drama,1988,5.8,1253769,Martin Scorsese,104,Australia,15.96
Spider-Man: No Way Home,Comedy,1989,6.2,4810637,Peter Jackson,129,South Korea,1752.1
Arrival,Adventure,1988,8,1471908,Patty Jenkins,133,Canada,1493.2
Tenet,Action,1996,8.7,4235854,Steven Spielberg,189,Germany,1994.19
Avatar,Action,2016,7.3,3465223,Patty Jenkins,135,India,401.51
The Wolf of Wall Street,Fantasy,1983,7.9,3690421,Quentin Tarantino,207,Germany,2065.11
Iron Man,Drama,2023,6.4,4568005,Martin Scorsese,195,UK,1438.83
Forrest Gump,Thriller,1983,4.6,4523350,Peter Jackson,193,Canada,823.59
Inside Out,Fantasy,2018,5.2,4532614,Tim Burton,84,Australia,1288.66
The Revenant,Drama,1997,9.3,4371592,Ryan Coogler,198,UK,149.75
Up,Fantasy,2001,7.4,915739,Sam Raimi,155,Australia,1669.67
Fight Club,Drama,1985,5.3,2348906,Denis Villeneuve,199,France,1606.77
Zootopia,Horror,1993,4.6,957896,Denis Villeneuve,136,France,2207.28
Big Hero 6,Horror,2007,5.3,4496031,Patty Jenkins,164,UK,1007.3
Inception,Horror,2004,7.8,4181826,Martin Scorsese,210,Germany,1877.75
Us,Horror,2014,9.3,1813080,Zack Snyder,173,Germany,2588.2
Thor: Love and Thunder,Comedy,2005,4.6,1135666,Sam Raimi,163,South Korea,1257.58
Inception,Romance,2023,6.1,2769390,Peter Jackson,133,USA,1408.69
Us,Adventure,2017,7,2068847,Robert Zemeckis,145,Japan,33.61
Tenet,Adventure,1992,8.5,3406444,Christopher Nolan,91,Spain,2176.2
Maze Runner,Drama,2023,8.2,2752842,Martin Scorsese,130,India,2661.75
The Prestige,Adventure,1982,6.9,3221885,Patty Jenkins,192,France,939.51
Inside Out,Drama,2013,4.6,648450,Ryan Coogler,125,Germany,1857.48
Inside Out,Action,2002,5.4,2789364,Tim Burton,141,USA,2043.71
Titanic,Animation,1987,5.7,4022436,Martin Scorsese,142,Japan,997.76
Luca,Comedy,2014,9.7,4978629,Christopher Nolan,164,USA,630.21
"Monsters, Inc.",Romance,1989,8.9,2146029,Ryan Coogler,200,USA,1949.27
Venom,Adventure,2022,8.8,2202842,Tim Burton,209,Canada,647.57
Dunkirk,Fantasy,2015,7.3,2077265,Robert Zemeckis,142,South Korea,280.26
Shutter Island,Romance,2013,4.5,1954591,Ridley Scott,149,Canada,1277.37
The Lion King,Fantasy,1998,8.7,1206980,Patty Jenkins,92,India,1117.84
Thor: Love and Thunder,Adventure,1995,5.4,2721172,Ridley Scott,83,France,2515.63
Oppenheimer,Horror,2006,8.1,1358573,Robert Zemeckis,149,South Korea,955.17
Insidious,Sci-Fi,2015,8,1200134,Robert Zemeckis,183,India,1710.64
Memento,Drama,1985,6.6,1638955,Robert Zemeckis,146,Japan,584.46
Interstellar,Animation,1983,5.3,3061961,Tim Burton,124,France,775.14
Aquaman 2,Sci-Fi,2018,9.1,3628047,Ryan Coogler,201,France,1419.81
Frozen II,Romance,1982,7.7,125544,Ridley Scott,109,France,237.67
Joker,Horror,1994,7,725312,Peter Jackson,98,Germany,1123.27
Justice League,Adventure,1998,9.8,858287,Steven Spielberg,128,Germany,1629.35
Brave,Adventure,1992,8.5,3462123,Martin Scorsese,129,Spain,359.73
Logan,Thriller,1997,4.9,1520702,James Cameron,203,USA,69.42
Memento,Adventure,1984,5.8,4550971,James Cameron,130,Canada,1871.13
The Matrix,Romance,1993,9.6,3493709,Greta Gerwig,194,South Korea,319.59
Doctor Strange: Multiverse of Madness,Sci-Fi,2003,7.2,3337759,James Cameron,106,Germany,717.43
It,Romance,1982,8.9,4224962,Robert Zemeckis,94,UK,278.23
Frozen,Adventure,2007,8.4,1755701,Zack Snyder,145,Australia,1400.47
Spider-Man: No Way Home,Comedy,1981,5.2,922535,Peter Jackson,201,France,458.37
Spider-Man: No Way Home,Drama,1991,9,3063935,Patty Jenkins,199,USA,1718.47
Shutter Island,Adventure,1982,7.2,4829476,Patty Jenkins,192,Australia,25.5
The Lion King,Thriller,2012,9.2,3033376,Christopher Nolan,81,India,598.46
Soul,Sci-Fi,1986,9.4,2414709,Ryan Coogler,154,India,2456.59
Shrek,Horror,1988,7.2,2298259,James Cameron,149,South Korea,399.99
Thor: Love and Thunder,Adventure,1981,7.5,1636800,Quentin Tarantino,142,Spain,648.04
Shang-Chi,Sci-Fi,1986,5.9,161082,Peter Jackson,166,Germany,1910.36
Shutter Island,Romance,1983,5.9,2727355,Patty Jenkins,166,Australia,1235.77
Encanto,Horror,1983,8.2,4529911,Ridley Scott,189,France,263.31
Blade Runner 2049,Thriller,1983,8.2,4527261,Steven Spielberg,100,India,1722.76
Aquaman,Adventure,1989,7.8,3425698,Zack Snyder,177,South Korea,548.53
Birdman,Thriller,1996,6.7,3734182,James Cameron,189,Spain,1392.74
The Shawshank Redemption,Fantasy,2009,5,3395333,Ryan Coogler,120,South Korea,2349.33
Birdman,Fantasy,1987,7,2507798,Zack Snyder,186,UK,2114.71
Schindler's List,Horror,2014,7.6,3780551,Peter Jackson,144,Canada,1412.8
Brave,Animation,1985,7,1041255,Christopher Nolan,120,South Korea,1330.96
The Revenant,Romance,1981,6.8,4994701,Zack Snyder,142,Germany,1676.2
The Lion King,Animation,2001,7.5,4240991,Patty Jenkins,103,Canada,394.33
Ant-Man,Sci-Fi,2012,8,1473038,Sam Raimi,129,Germany,942.91
The Incredibles,Drama,1992,8.4,3368796,Zack Snyder,133,Australia,740.81
Encanto,Action,2011,5.6,305351,Patty Jenkins,92,India,1642.75
Interstellar,Romance,2022,7.2,4027073,Greta Gerwig,152,USA,805.72
Titanic,Thriller,1985,8.5,2858823,Denis Villeneuve,115,UK,1666.12
Kung Fu Panda,Horror,1998,4.7,1286681,Sam Raimi,156,Germany,1830.94
Us,Action,1984,8.2,79202,Peter Jackson,106,Spain,2551.52
Avengers: Endgame,Horror,2014,4.6,2298151,Tim Burton,190,South Korea,330.31
Guardians of the Galaxy,Adventure,2021,5.1,3445801,Martin Scorsese,193,India,2045.55
Divergent,Comedy,1991,4.7,2017236,Sam Raimi,180,USA,401.92
Whiplash,Adventure,2009,5.8,4298721,Ryan Coogler,185,Spain,550.48
Shrek,Thriller,2018,9.4,2318615,Sam Raimi,159,USA,770.88
La La Land,Action,1990,5.1,4768177,Martin Scorsese,169,Japan,245.08
Pulp Fiction,Drama,2003,8.3,3504451,Denis Villeneuve,143,Spain,618.77
The Hunger Games,Romance,2005,8.7,3123253,Robert Zemeckis,200,Spain,388.84
Pulp Fiction,Drama,1980,7,347220,Tim Burton,200,Germany,546.73
The Exorcist,Animation,1989,9.6,2562163,Greta Gerwig,130,Spain,556.97
The Dark Knight,Horror,1984,9.1,2425230,James Cameron,174,UK,236.85
Frozen,Comedy,2002,8.6,2831453,Christopher Nolan,200,Australia,2046.31
Spider-Man: No Way Home,Horror,2000,9.2,1717047,Ryan Coogler,140,South Korea,2068.47
Hereditary,Adventure,2012,5.2,1010753,James Cameron,130,Australia,762.41
Avengers: Endgame,Romance,2019,8.5,2101529,Martin Scorsese,90,Germany,1152.71
The Matrix,Action,2013,9.2,4145826,Greta Gerwig,159,Australia,1153.11
Thor: Love and Thunder,Drama,2011,5.6,1662435,James Cameron,117,Canada,1725.42
Spider-Man: No Way Home,Action,1995,4.9,889512,Christopher Nolan,207,Japan,1766.76
Us,Sci-Fi,2013,6.8,2288318,Martin Scorsese,87,Canada,1793.49
Avatar,Action,2015,7.5,2495720,Zack Snyder,154,Germany,258.75
Wall-E,Action,2005,9.6,598936,Zack Snyder,159,South Korea,2368.46
Eternals,Animation,1980,9.1,3957655,Ryan Coogler,93,India,1929.24
